bowler,total_matches,total_balls,total_runs_conceded,total_wickets,total_maidens,dot_balls,overs_bowled,bowling_average,economy_rate,strike_rate,dot_percentage,fours_conceded,sixes_conceded,pp_wickets,pp_economy,middle_wickets,middle_economy,death_wickets,death_economy,recent_runs,recent_balls,recent_wickets,recent_economy
MR Marsh,19,330,472,19,93,120,55.0,24.84,8.58,17.37,36.36,46.0,15.0,3.0,7.7,11.0,7.79,5.0,11.82,57,30,1,11.399999999999999
MS Gony,40,843,1206,35,316,364,140.5,34.46,8.58,24.09,43.18,122.0,49.0,18.0,8.52,13.0,7.88,4.0,11.6,53,30,2,10.6
MW Short,3,25,25,0,11,12,4.17,25.0,6.0,25.0,48.0,2.0,1.0,0.0,6.46,0.0,5.5,0.0,0.0,25,25,0,6.0
Mandeep Singh,2,12,26,0,1,1,2.0,26.0,13.0,12.0,8.33,1.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,26,12,0,13.0
Mashrafe Mortaza,1,28,59,1,6,10,4.67,59.0,12.64,28.0,35.71,4.0,4.0,0.0,12.0,0.0,0.0,1.0,13.2,59,28,1,12.642857142857142
Mayank Dagar,8,138,205,2,43,45,23.0,102.5,8.91,69.0,32.61,14.0,11.0,0.0,14.5,2.0,8.23,0.0,12.0,67,30,0,13.4
Mohammad Asif,8,199,307,9,64,77,33.17,34.11,9.26,22.11,38.69,37.0,8.0,3.0,9.38,1.0,7.67,5.0,10.71,47,30,2,9.4
Mohammad Hafeez,4,63,71,2,22,28,10.5,35.5,6.76,31.5,44.44,5.0,2.0,0.0,0.0,2.0,6.76,0.0,0.0,48,30,1,9.600000000000001
Mohammad Nabi,22,401,509,15,138,146,66.83,33.93,7.62,26.73,36.41,32.0,25.0,7.0,6.31,6.0,8.35,2.0,10.0,59,30,2,11.799999999999999
Mohammed Shami,104,2400,3276,137,952,1080,400.0,23.91,8.19,17.52,45.0,340.0,117.0,50.0,7.29,22.0,8.04,65.0,10.51,61,30,1,12.2
Mohammed Siraj,91,2033,2819,92,791,955,338.83,30.64,8.32,22.1,46.97,266.0,124.0,37.0,8.11,19.0,7.62,36.0,9.32,37,30,2,7.4
Mohit Rathee,1,12,29,0,3,3,2.0,29.0,14.5,12.0,25.0,3.0,2.0,0.0,0.0,0.0,14.5,0.0,0.0,29,12,0,14.5
Mohsin Khan,23,507,698,27,209,233,84.5,25.85,8.26,18.78,45.96,61.0,35.0,11.0,7.75,6.0,7.34,10.0,10.0,56,30,1,11.2
Monu Kumar,1,16,20,0,4,7,2.67,20.0,7.5,16.0,43.75,2.0,0.0,0.0,5.25,0.0,9.75,0.0,0.0,20,16,0,7.5
Mujeeb Ur Rahman,19,452,598,20,147,170,75.33,29.9,7.94,22.6,37.61,39.0,25.0,5.0,7.06,10.0,7.81,5.0,10.96,43,30,2,8.6
Mukesh Choudhary,14,298,452,16,120,139,49.67,28.25,9.1,18.62,46.64,49.0,20.0,11.0,8.68,3.0,8.09,2.0,12.14,64,30,0,12.8
Mukesh Kumar,20,420,707,31,130,157,70.0,22.81,10.1,13.55,37.38,75.0,32.0,5.0,9.23,10.0,10.42,16.0,10.65,36,30,4,7.199999999999999
Mustafizur Rahman,53,1267,1708,67,429,500,211.17,25.49,8.09,18.91,39.46,159.0,56.0,14.0,7.07,18.0,7.38,35.0,9.47,22,30,1,4.3999999999999995
N Burger,5,105,152,7,46,53,17.5,21.71,8.69,15.0,50.48,16.0,7.0,4.0,10.16,2.0,8.5,1.0,4.11,28,30,2,5.6
N Rana,24,185,253,10,58,64,30.83,25.3,8.21,18.5,34.59,27.0,7.0,0.0,8.88,8.0,8.34,2.0,6.75,58,30,1,11.6
N Thushara,7,172,259,8,49,66,28.67,32.38,9.03,21.5,38.37,25.0,10.0,6.0,8.89,0.0,7.76,2.0,10.08,36,30,3,7.199999999999999
N Wadhera,1,12,13,0,2,2,2.0,13.0,6.5,12.0,16.67,1.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,13,12,0,6.5
NA Saini,1,15,35,0,2,3,2.5,35.0,14.0,15.0,20.0,3.0,2.0,0.0,0.0,0.0,9.0,0.0,19.71,35,15,0,14.0
ND Doshi,3,49,64,1,20,21,8.17,64.0,7.84,49.0,42.86,3.0,5.0,0.0,9.0,0.0,8.71,1.0,1.0,48,30,1,9.600000000000001
NLTC Perera,18,372,534,16,121,138,62.0,33.38,8.61,23.25,37.1,59.0,15.0,3.0,7.52,5.0,7.62,8.0,11.11,48,30,0,9.600000000000001
NM Coulter-Nile,35,832,1022,50,346,393,138.67,20.44,7.37,16.64,47.24,109.0,30.0,14.0,6.47,14.0,7.25,22.0,8.88,59,30,0,11.799999999999999
NT Ellis,16,365,514,19,112,127,60.83,27.05,8.45,19.21,34.79,43.0,20.0,4.0,6.93,10.0,7.82,5.0,11.45,30,30,2,6.0
Naman Dhir,3,29,55,0,3,4,4.83,55.0,11.38,29.0,13.79,5.0,2.0,0.0,6.0,0.0,12.78,0.0,0.0,55,29,0,11.379310344827587
Navdeep Saini,31,682,968,26,272,307,113.67,37.23,8.52,26.23,45.01,103.0,38.0,9.0,8.22,5.0,8.6,12.0,8.93,55,30,3,11.0
Naveen-ul-Haq,17,407,602,26,133,157,67.83,23.15,8.87,15.65,38.57,54.0,24.0,6.0,9.6,9.0,7.16,11.0,9.49,65,30,2,13.0
Nithish Kumar Reddy,9,118,208,4,29,39,19.67,52.0,10.58,29.5,33.05,14.0,14.0,0.0,8.84,3.0,10.62,1.0,14.25,73,30,1,14.599999999999998
Noor Ahmad,23,513,672,24,171,198,85.5,28.0,7.86,21.38,38.6,49.0,27.0,1.0,7.78,19.0,7.88,4.0,7.64,41,30,1,8.2
O Thomas,4,63,85,5,17,24,10.5,17.0,8.1,12.6,38.1,9.0,1.0,2.0,9.41,1.0,4.5,2.0,7.71,37,30,4,7.4
OC McCoy,8,180,255,11,49,69,30.0,23.18,8.5,16.36,38.33,20.0,9.0,0.0,7.0,3.0,8.91,8.0,8.2,42,30,0,8.399999999999999
OF Smith,6,95,179,7,35,40,15.83,25.57,11.31,13.57,42.11,12.0,16.0,1.0,7.0,2.0,11.79,4.0,13.8,55,30,4,11.0
P Amarnath,6,132,241,7,29,34,22.0,34.43,10.95,18.86,25.76,29.0,7.0,0.0,12.0,7.0,10.4,0.0,21.0,63,30,1,12.600000000000001
P Awana,30,701,971,39,257,292,116.83,24.9,8.31,17.97,41.65,100.0,33.0,14.0,8.05,11.0,7.37,14.0,10.62,60,30,1,12.0
P Dubey,4,67,91,1,20,21,11.17,91.0,8.15,67.0,31.34,6.0,5.0,0.0,0.0,1.0,8.15,0.0,0.0,44,30,1,8.799999999999999
P Kumar,91,2062,2617,80,835,977,343.67,32.71,7.61,25.78,47.38,254.0,88.0,31.0,6.63,17.0,8.54,32.0,9.64,51,30,1,10.2
P Negi,36,621,846,34,189,213,103.5,24.88,8.17,18.26,34.3,53.0,41.0,3.0,10.4,23.0,7.92,8.0,9.73,53,30,0,10.6
P Parameswaran,3,62,89,5,23,27,10.33,17.8,8.61,12.4,43.55,9.0,3.0,1.0,4.0,1.0,9.0,3.0,10.8,28,30,3,5.6
P Ray Barman,1,24,56,0,2,2,4.0,56.0,14.0,24.0,8.33,3.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,56,24,0,14.0
