bowler,total_matches,total_balls,total_runs_conceded,total_wickets,total_maidens,dot_balls,overs_bowled,bowling_average,economy_rate,strike_rate,dot_percentage,fours_conceded,sixes_conceded,pp_wickets,pp_economy,middle_wickets,middle_economy,death_wickets,death_economy,recent_runs,recent_balls,recent_wickets,recent_economy
KA Pollard,101,1477,2028,76,380,485,246.17,26.68,8.24,19.43,32.84,159.0,69.0,1.0,8.32,54.0,7.88,21.0,10.24,44,30,1,8.799999999999999
KAJ Roach,2,52,80,0,20,24,8.67,80.0,9.23,52.0,46.15,10.0,3.0,0.0,6.32,0.0,6.86,0.0,13.89,57,30,0,11.399999999999999
KC Cariappa,9,182,310,6,46,54,30.33,51.67,10.22,30.33,29.67,20.0,19.0,0.0,13.44,6.0,9.66,0.0,11.0,61,30,0,12.2
KH Pandya,109,2031,2460,76,624,708,338.5,32.37,7.27,26.72,34.86,170.0,77.0,16.0,7.63,48.0,7.12,12.0,7.69,39,30,1,7.800000000000001
KJ Abbott,3,59,114,1,13,17,9.83,114.0,11.59,59.0,28.81,15.0,3.0,0.0,11.25,1.0,12.3,0.0,11.14,69,30,1,13.799999999999999
KK Ahmed,57,1345,1918,78,512,607,224.17,24.59,8.56,17.24,45.13,193.0,80.0,27.0,8.0,18.0,8.08,33.0,10.06,40,30,3,8.0
KK Cooper,23,550,723,35,167,213,91.67,20.66,7.89,15.71,38.73,55.0,20.0,4.0,6.76,12.0,7.55,19.0,8.62,50,30,2,10.0
KL Nagarkoti,11,185,287,5,50,57,30.83,57.4,9.31,37.0,30.81,21.0,14.0,0.0,8.71,4.0,9.82,1.0,6.63,63,30,0,12.600000000000001
KM Asif,7,143,232,7,46,55,23.83,33.14,9.73,20.43,38.46,16.0,14.0,3.0,9.47,4.0,9.04,0.0,14.4,52,30,2,10.4
KMA Paul,8,180,239,10,52,67,30.0,23.9,7.97,18.0,37.22,18.0,8.0,0.0,13.71,6.0,7.0,4.0,10.1,62,30,3,12.400000000000002
KMDN Kulasekara,2,51,48,2,23,28,8.5,24.0,5.65,25.5,54.9,5.0,0.0,0.0,5.56,0.0,8.0,2.0,5.0,32,30,2,6.4
KP Appanna,11,184,237,10,59,64,30.67,23.7,7.73,18.4,34.78,16.0,9.0,0.0,6.86,10.0,7.8,0.0,0.0,60,30,1,12.0
KP Pietersen,12,165,197,9,52,58,27.5,21.89,7.16,18.33,35.15,9.0,8.0,1.0,6.0,7.0,6.99,1.0,9.67,38,30,1,7.6
KR Mayers,6,46,59,0,14,16,7.67,59.0,7.7,46.0,34.78,8.0,0.0,0.0,6.62,0.0,13.71,0.0,0.0,41,30,0,8.2
KR Sen,12,255,396,14,83,101,42.5,28.29,9.32,18.21,39.61,41.0,16.0,2.0,9.0,8.0,8.2,4.0,12.91,60,30,2,12.0
KS Williamson,2,18,31,0,2,2,3.0,31.0,10.33,18.0,11.11,1.0,2.0,0.0,7.0,0.0,12.0,0.0,0.0,31,18,0,10.333333333333334
KT Maphaka,2,39,90,1,11,15,6.5,90.0,13.85,39.0,38.46,12.0,5.0,1.0,12.48,0.0,20.0,0.0,13.5,81,30,1,16.200000000000003
KV Sharma,78,1428,2030,78,446,498,238.0,26.03,8.53,18.31,34.87,111.0,121.0,7.0,7.02,66.0,8.49,5.0,12.58,50,30,1,10.0
KW Richardson,10,228,309,14,85,95,38.0,22.07,8.13,16.29,41.67,29.0,13.0,6.0,5.89,2.0,8.56,6.0,11.81,60,30,2,12.0
Kamran Khan,8,159,201,14,58,76,26.5,14.36,7.58,11.36,47.8,22.0,5.0,6.0,7.29,3.0,6.27,5.0,9.83,43,30,4,8.6
Karanveer Singh,9,213,323,14,64,75,35.5,23.07,9.1,15.21,35.21,19.0,19.0,0.0,13.0,10.0,8.54,4.0,12.0,61,30,1,12.2
Kartik Tyagi,20,458,720,16,148,186,76.33,45.0,9.43,28.62,40.61,71.0,32.0,5.0,9.79,5.0,8.83,6.0,10.0,63,30,0,12.600000000000001
Kuldeep Yadav,78,1690,2289,83,487,546,281.67,27.58,8.13,20.36,32.31,112.0,125.0,0.0,8.25,70.0,8.08,13.0,8.57,55,30,1,11.0
L Ablish,3,45,76,5,10,14,7.5,15.2,10.13,9.0,31.11,11.0,1.0,1.0,13.0,1.0,10.62,3.0,3.43,52,30,2,10.4
L Balaji,68,1468,1969,78,493,587,244.67,25.24,8.05,18.82,39.99,180.0,65.0,15.0,6.82,33.0,7.41,30.0,10.31,59,30,0,11.799999999999999
L Ngidi,14,342,460,28,131,155,57.0,16.43,8.07,12.21,45.32,39.0,22.0,8.0,7.15,7.0,7.6,13.0,9.59,72,30,2,14.399999999999999
L Wood,2,38,94,1,8,11,6.33,94.0,14.84,38.0,28.95,12.0,5.0,0.0,13.0,1.0,11.5,0.0,19.29,81,30,1,16.200000000000003
LA Carseldine,1,7,6,1,4,5,1.17,6.0,5.14,7.0,71.43,1.0,0.0,1.0,5.14,0.0,0.0,0.0,0.0,6,7,1,5.142857142857142
LB Williams,2,42,74,1,12,19,7.0,74.0,10.57,42.0,45.24,7.0,3.0,0.0,11.59,1.0,8.31,0.0,0.0,56,30,1,11.2
LE Plunkett,7,154,228,4,39,46,25.67,57.0,8.88,38.5,29.87,15.0,12.0,1.0,9.82,1.0,8.69,2.0,8.23,47,30,0,9.4
LH Ferguson,41,915,1355,52,311,361,152.5,26.06,8.89,17.6,39.45,133.0,56.0,16.0,8.59,19.0,8.09,17.0,10.51,54,30,1,10.8
LI Meriwala,1,19,32,1,6,6,3.17,32.0,10.11,19.0,31.58,4.0,1.0,0.0,12.92,1.0,4.0,0.0,0.0,32,19,1,10.105263157894736
LMP Simmons,1,18,34,1,2,2,3.0,34.0,11.33,18.0,11.11,2.0,2.0,0.0,0.0,1.0,13.0,0.0,8.0,34,18,1,11.333333333333332
LPC Silva,1,6,21,0,0,0,1.0,21.0,21.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,21,6,0,21.0
LR Shukla,27,326,458,17,109,127,54.33,26.94,8.43,19.18,38.96,39.0,16.0,0.0,11.33,9.0,7.84,8.0,9.26,54,30,1,10.8
LRPL Taylor,2,13,24,0,0,1,2.17,24.0,11.08,13.0,7.69,0.0,2.0,0.0,0.0,0.0,11.08,0.0,0.0,24,13,0,11.076923076923077
LS Livingstone,22,267,395,11,71,81,44.5,35.91,8.88,24.27,30.34,32.0,17.0,1.0,5.67,10.0,9.02,0.0,12.0,37,30,1,7.4
Lalit Yadav,19,294,430,11,82,91,49.0,39.09,8.78,26.73,30.95,26.0,24.0,2.0,9.49,8.0,8.3,1.0,10.15,84,30,0,16.799999999999997
M Ashwin,34,722,937,28,228,262,120.33,33.46,7.79,25.79,36.29,67.0,38.0,2.0,8.13,22.0,7.77,4.0,7.47,56,30,0,11.2
M Jansen,21,487,732,22,176,218,81.17,33.27,9.02,22.14,44.76,69.0,32.0,14.0,8.23,6.0,9.96,2.0,12.22,66,30,1,13.200000000000001
M Kartik,36,783,927,30,252,289,130.5,30.9,7.1,26.1,36.91,65.0,24.0,4.0,8.06,22.0,6.86,4.0,8.4,52,30,1,10.4
M Markande,37,737,1081,37,210,234,122.83,29.22,8.8,19.92,31.75,75.0,58.0,0.0,0.0,36.0,8.78,1.0,9.2,60,30,3,12.0
M Morkel,60,1472,1799,79,632,719,245.33,22.77,7.33,18.63,48.85,189.0,52.0,32.0,6.76,14.0,7.38,33.0,8.83,44,30,2,8.799999999999999
M Muralitharan,59,1421,1571,63,536,625,236.83,24.94,6.63,22.56,43.98,96.0,55.0,3.0,6.74,47.0,6.42,13.0,8.25,35,30,1,7.0
M Ntini,9,213,257,8,99,110,35.5,32.12,7.24,26.62,51.64,29.0,8.0,5.0,6.91,0.0,6.75,3.0,9.29,28,30,0,5.6
